Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x_rho_pure_h_vap,Pure Density,MUE,0.015589938742301745,0.007114818246787305,0.0024075213176315557,0.030252708105971825,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,Tau,0.9999999999999999,,0.6324555320336759,0.9999999999999999,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,Slope,1.0843973129894373,,0.7023885492146795,1.2109213575941504,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,Intercept,-0.0519907396269238,,-0.17449838811004692,0.24041539100609405,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,R,0.9984568160394173,0.10880271361952842,0.9968981144181533,0.9999998312987637,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,R^2,0.9969160134955708,0.10872734072123663,0.9938058505304695,0.9999996625975558,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,p,0.0015431839605827286,0.10880271361952845,1.6971570382385727e-07,0.0031022424807451983,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,RMSE,0.022932459548652306,0.007839381195782164,0.009788247552548044,0.03611680273147309,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,MSE,0.01891165400878511,0.006606901758499405,0.009787347818094927,0.03353988095513727,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,MUE,0.01891165400878511,0.006606901758499405,0.009787347818094927,0.03353988095513727,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,Tau,1.0,,0.7071067811865477,1.0,ether
h_mix_rho_x_rho_pure_h_vap,Pure Density,Slope,0.08364428658157835,1.064088141375003,-4.030818076263516,1.4114242839848825,alcohol
